province,type,is_canal,adjacent,coastal_adjacent
Bay of Shurima,sea,no,Antathir Plain; Bay of Icathia; Icathian Sea; Marai Territory; South Icathia; South Shurima,Antathir Plain; Bay of Icathia; Icathian Sea; Marai Territory; South Icathia; South Shurima
Bay of Zhyunia,sea,no,Eastern Guardian's Sea; Kashuri Inlet; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; Tevasa Inlet; Vlonqo; Wuju; Zhyun,Eastern Guardian's Sea; Kashuri Inlet; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; Tevasa Inlet; Vlonqo; Wuju; Zhyun
Bear Pass,land,no,Freljord Plains; Rakelstake; Sisters' Peak; Stormpeaks,
Bel'zhun,land,no,Eastern Central Sea; Kalduga; Kalduga Inlet; Nashramae; The Great Sai 1; The Great Sai 2; The Great Sai 3,Eastern Central Sea; Kalduga Inlet; Nashramae
Bilgewater Bay,land,yes,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Bilgewater Pass; Central Guardian's Sea; Eastern Guardian's Sea,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Bilgewater Pass; Central Guardian's Sea; Eastern Guardian's Sea
Bilgewater Pass,sea,no,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Bilgewater Bay; Central Guardian's Sea; Eastern Guardian's Sea; Mudtown; Strait of Valoran; The Jaws; The Serpentine Delta,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Bilgewater Bay; Central Guardian's Sea; Eastern Guardian's Sea; Mudtown; Strait of Valoran; The Jaws; The Serpentine Delta
Blood Gulf,sea,no,Badlands; Bloodcliffs; Immortal Bastion; Iron Bay; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Steward Mountain; The Drakkengate,Badlands; Bloodcliffs; Immortal Bastion; Iron Bay; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Steward Mountain; The Drakkengate
Blood Mountains,land,no,Dalamor Plain; Darkwill Peak; Plains of Valoran 1; Plains of Valoran 2; Plains of Valoran 3; Tokogol,
Bloodcliffs,land,no,Badlands; Blood Gulf; Steward Mountain; Western Great Barrier,Badlands; Blood Gulf
Bluespine Mountains,land,no,Fossbarrow; Frostheld; Ghulfrost Mountain; High Silvermere; Meltridge Basin; Uwendale; Yadulsk Basin,
Calais,land,yes,Sea of Lords; South Tracker's Sea; Valar's Bay,Sea of Lords; South Tracker's Sea; Valar's Bay
Central Glacier,land,no,Central Wastes; Frozen Pass; Raikkon Sea; Retreat; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Western Glacier,Frozen Pass; Raikkon Sea; Retreat; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Western Glacier
Central Guardian's Sea,sea,no,Bilgewater Bay; Bilgewater Pass; Eastern Guardian's Sea; Fallgren; Ironwater; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; Strait of Valoran; Vindor; Western Guardian's Sea,Bilgewater Bay; Bilgewater Pass; Eastern Guardian's Sea; Fallgren; Ironwater; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; Strait of Valoran; Vindor; Western Guardian's Sea
Central Wastes,land,no,Central Glacier; Retreat; Sanctuary; The Expanse; Western Glacier,
Conqueror's Sea 1,sea,no,Aurma; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Evenmoor; Glorft Coast; Kalamanda Bay; Marai Territory; Mount Targon; Needlebrook Bay; Sea of Lords; South Tracker's Sea; Southern Unbounded Ocean; Strait of Nerima; Velorus Islands; Western Central Sea; Western Unbounded Ocean; Zuretta Archipelago,Aurma; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Evenmoor; Glorft Coast; Kalamanda Bay; Marai Territory; Mount Targon; Needlebrook Bay; Sea of Lords; South Tracker's Sea; Southern Unbounded Ocean; Strait of Nerima; Velorus Islands; Western Central Sea; Western Unbounded Ocean; Zuretta Archipelago
Conqueror's Sea 2,sea,no,Aurma; Conqueror's Sea 1; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Evenmoor; Glorft Coast; Kalamanda Bay; Marai Territory; Mount Targon; Needlebrook Bay; Sea of Lords; South Tracker's Sea; Southern Unbounded Ocean; Strait of Nerima; Velorus Islands; Western Central Sea; Western Unbounded Ocean; Zuretta Archipelago,Aurma; Conqueror's Sea 1; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Evenmoor; Glorft Coast; Kalamanda Bay; Marai Territory; Mount Targon; Needlebrook Bay; Sea of Lords; South Tracker's Sea; Southern Unbounded Ocean; Strait of Nerima; Velorus Islands; Western Central Sea; Western Unbounded Ocean; Zuretta Archipelago
Conqueror's Sea 3,sea,no,Aurma; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 4; Conqueror's Sea 5; Evenmoor; Glorft Coast; Kalamanda Bay; Marai Territory; Mount Targon; Needlebrook Bay; Sea of Lords; South Tracker's Sea; Southern Unbounded Ocean; Strait of Nerima; Velorus Islands; Western Central Sea; Western Unbounded Ocean; Zuretta Archipelago,Aurma; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 4; Conqueror's Sea 5; Evenmoor; Glorft Coast; Kalamanda Bay; Marai Territory; Mount Targon; Needlebrook Bay; Sea of Lords; South Tracker's Sea; Southern Unbounded Ocean; Strait of Nerima; Velorus Islands; Western Central Sea; Western Unbounded Ocean; Zuretta Archipelago
Conqueror's Sea 4,sea,no,Aurma; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 5; Evenmoor; Glorft Coast; Kalamanda Bay; Marai Territory; Mount Targon; Needlebrook Bay; Sea of Lords; South Tracker's Sea; Southern Unbounded Ocean; Strait of Nerima; Velorus Islands; Western Central Sea; Western Unbounded Ocean; Zuretta Archipelago,Aurma; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 5; Evenmoor; Glorft Coast; Kalamanda Bay; Marai Territory; Mount Targon; Needlebrook Bay; Sea of Lords; South Tracker's Sea; Southern Unbounded Ocean; Strait of Nerima; Velorus Islands; Western Central Sea; Western Unbounded Ocean; Zuretta Archipelago
Conqueror's Sea 5,sea,no,Aurma; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Evenmoor; Glorft Coast; Kalamanda Bay; Marai Territory; Mount Targon; Needlebrook Bay; Sea of Lords; South Tracker's Sea; Southern Unbounded Ocean; Strait of Nerima; Velorus Islands; Western Central Sea; Western Unbounded Ocean; Zuretta Archipelago,Aurma; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Evenmoor; Glorft Coast; Kalamanda Bay; Marai Territory; Mount Targon; Needlebrook Bay; Sea of Lords; South Tracker's Sea; Southern Unbounded Ocean; Strait of Nerima; Velorus Islands; Western Central Sea; Western Unbounded Ocean; Zuretta Archipelago
Dalamor Coast,land,no,Dalamor Plain; Fang Watershed; Gulf of Freljord; Ruug; The Delverhold,Fang Watershed; Gulf of Freljord; Ruug
Dalamor Plain,land,no,Blood Mountains; Dalamor Coast; Darkwill Peak; Iron Pinnacle; Ironspike Mountains; Khworez; Ruug; The Delverhold; Tokogol,
Darkwill Peak,land,no,Blood Mountains; Dalamor Plain; Immortal Bastion; Khworez; Plains of Valoran 1; Plains of Valoran 2; Plains of Valoran 3,
Dawnhold,land,yes,Gulf of Demacia; High Silvermere; Sea of Lords; Valar's Bay; Vaskasia; Wrenwall Cliffs,Gulf of Demacia; High Silvermere; Sea of Lords; Valar's Bay; Vaskasia; Wrenwall Cliffs
Demacia City,land,no,Evenmoor; Gulf of Demacia; High Silvermere; Jandelle; Meltridge Basin; The Silent Forest; Vaskasia,Gulf of Demacia; High Silvermere
Dragonspine,land,no,Bard Mountain; Kashuri Inlet; Placidium of Navori; Shon-Xan; Tevasa Inlet; Vlonqo,Kashuri Inlet; Placidium of Navori; Shon-Xan; Tevasa Inlet; Vlonqo
East Fang,land,no,Fang Watershed; Frozen Pass; Gulf of Freljord; Ice Spine Mountains; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; West Fang,Frozen Pass; Gulf of Freljord; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; West Fang
Eastern Central Sea,sea,no,Bel'zhun; Iron Pass; Kalduga Inlet; Kumangra; Nashramae; Pilt Bay; Rokrund Bay; Stonewall; Tereshni; Urzeris; Western Twin Cities Bay,Bel'zhun; Iron Pass; Kalduga Inlet; Kumangra; Nashramae; Pilt Bay; Rokrund Bay; Stonewall; Tereshni; Urzeris; Western Twin Cities Bay
Eastern Glacier,land,no,Eastern Wastes; Northern Eternal Sea; Retreat,Northern Eternal Sea; Retreat
Eastern Great Barrier,land,no,Basilich; Krexor; Krexor Bay; Mount Pilt; Steward Mountain; Vindor; Western Great Barrier,Krexor; Krexor Bay; Mount Pilt
Eastern Guardian's Sea,sea,no,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Bay of Zhyunia; Bilgewater Bay; Bilgewater Pass; Central Guardian's Sea; Fallgren; Sea of Shadows; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; Temple of Pallas; Tuula Strait; Zhyun,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Bay of Zhyunia; Bilgewater Bay; Bilgewater Pass; Central Guardian's Sea; Fallgren; Sea of Shadows; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; Temple of Pallas; Tuula Strait; Zhyun
Eastern Ice Sea,sea,no,Frozen Pass; Ornnkaal Glacier; Quchar; Sanctuary; Ursine Lands; Vathcaer Coast; Western Ice Sea; Western Wastes,Frozen Pass; Ornnkaal Glacier; Quchar; Sanctuary; Ursine Lands; Vathcaer Coast; Western Ice Sea; Western Wastes
Eastern Twin Cities Bay,sea,no,Kumangra; Mount Pilt; Piltover; Strait of Valoran; Zaun,Kumangra; Mount Pilt; Piltover; Strait of Valoran; Zaun
Eastern Wastes,land,no,Eastern Glacier; Retreat; The Expanse,
Evenmoor,land,no,Argent Mountains; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Demacia City; Glorft Coast; Needlebrook Bay; Sea of Lords; The Silent Forest; Trevale; Vaskasia; Wrenwall Cliffs,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Glorft Coast; Needlebrook Bay; Sea of Lords; Trevale; Wrenwall Cliffs
Fae'lor,land,yes,Navori Bay; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; Tevasa Inlet,Navori Bay; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3; Tevasa Inlet
Fallgren,land,yes,Central Guardian's Sea; Eastern Guardian's Sea; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3,Central Guardian's Sea; Eastern Guardian's Sea; Strait of Ionia 1; Strait of Ionia 2; Strait of Ionia 3
Fang Watershed,land,no,Dalamor Coast; East Fang; Gulf of Freljord; Ice Spine Mountains; Ironspike Mountains; The Delverhold,Dalamor Coast; Gulf of Freljord
Fossbarrow,land,no,Bluespine Mountains; Frostheld; High Silvermere; Valar's Bay,Frostheld; High Silvermere; Valar's Bay
Freljord Plains,land,no,Bear Pass; Ironspike Mountains; Naljaäg; Sisters' Peak; Stormpeaks; The Vale; Tokogol; Trinity Mountains,
Frostguard Citadel,land,no,Frozen Pass; Ice Spine Mountains; Naljaäg; Vathcaer Coast; West Fang,Frozen Pass; West Fang
Frostheld,land,no,Bluespine Mountains; Fossbarrow; Ghulfrost Mountain; Valar's Bay,Fossbarrow; Valar's Bay
Frozen Pass,sea,no,Central Glacier; East Fang; Eastern Ice Sea; Frostguard Citadel; Sanctuary; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Vathcaer Coast; West Fang; Western Glacier,Central Glacier; East Fang; Eastern Ice Sea; Frostguard Citadel; Sanctuary; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5; Vathcaer Coast; West Fang; Western Glacier
Gate of Shurima,land,no,Kalduga; Killash; North Icathia; Sai Khaleek; Serpentine River; The Great Sai 1; The Great Sai 2; The Great Sai 3,
Ghulfrost Mountain,land,no,Bluespine Mountains; Frostheld; Rakelstake; Stormpeaks; Valar's Bay; Vorrijaard Mountain; Yadulsk Basin,Valar's Bay; Vorrijaard Mountain
Glorft Coast,sea,no,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Evenmoor; Iron Pass; Kilgrove; Needlebrook Bay; Trevale; Western Central Sea,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Evenmoor; Iron Pass; Kilgrove; Needlebrook Bay; Trevale; Western Central Sea
Greenfang Mountains,land,no,Bargate Plains; Jandelle; The Graygate; The Silent Forest,
Gulf of Demacia,sea,no,Dawnhold; Demacia City; High Silvermere; Sea of Lords; Valar's Bay; Vaskasia; Wrenwall Cliffs,Dawnhold; Demacia City; High Silvermere; Sea of Lords; Valar's Bay; Vaskasia; Wrenwall Cliffs
Gulf of Freljord,sea,no,Dalamor Coast; East Fang; Fang Watershed; Ruug; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5,Dalamor Coast; East Fang; Fang Watershed; Ruug; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5
Harelport,land,no,Harelport Bay; Ixaocan; Ixtal Valley; Paretha; The Jaws,Harelport Bay; Ixaocan; Ixtal Valley; Paretha; The Jaws
Harelport Bay,sea,no,Amarantine Coast; Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Harelport; Ixaocan; The Jaws; The Serpentine Delta,Amarantine Coast; Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Harelport; Ixaocan; The Jaws; The Serpentine Delta
High Silvermere,land,no,Bluespine Mountains; Dawnhold; Demacia City; Fossbarrow; Gulf of Demacia; Meltridge Basin; Valar's Bay,Dawnhold; Demacia City; Fossbarrow; Gulf of Demacia; Valar's Bay
Hirana,land,no,Northern Passage; Vastaya Bay,Northern Passage; Vastaya Bay
Holdrum,land,no,Krexor Bay; Mount Pilt; Strait of Valoran,Krexor Bay; Mount Pilt; Strait of Valoran
Icathian Sea,sea,no,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Bay of Shurima; Ixaocan Sea; Marai Territory; Plague Bay; South Icathia; Southern Eternal Sea; Southern Unbounded Ocean,Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Bay of Shurima; Ixaocan Sea; Marai Territory; Plague Bay; South Icathia; Southern Eternal Sea; Southern Unbounded Ocean
Ice Spine Mountains,land,no,East Fang; Fang Watershed; Frostguard Citadel; Ironspike Mountains; Naljaäg; West Fang,
Immortal Bastion,land,no,Badlands; Blood Gulf; Darkwill Peak; Iron Bay; Khworez; Plains of Valoran 1; Plains of Valoran 2; Plains of Valoran 3,Badlands; Blood Gulf; Iron Bay; Khworez
Ionia City,land,no,Kinkou; Navori Plains; Placidium of Navori; Tevasa Inlet; Weh'le,Navori Plains; Tevasa Inlet; Weh'le
Iron Bay,sea,no,Blood Gulf; Immortal Bastion; Iron Pinnacle; Khworez; Ruug; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5,Blood Gulf; Immortal Bastion; Iron Pinnacle; Khworez; Ruug; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5
Iron Pass,sea,no,Eastern Central Sea; Glorft Coast; Kilgrove; Qualthala Mountains; Stonewall; Urzeris; Western Central Sea,Eastern Central Sea; Glorft Coast; Kilgrove; Qualthala Mountains; Stonewall; Urzeris; Western Central Sea
Iron Pinnacle,land,no,Dalamor Plain; Iron Bay; Khworez; Ruug,Iron Bay; Khworez; Ruug
Ironspike Mountains,land,no,Dalamor Plain; Fang Watershed; Freljord Plains; Ice Spine Mountains; Naljaäg; The Delverhold; Tokogol,
Ironwater,land,no,Central Guardian's Sea; Krexor; Krexor Bay; Strait of Valoran; Vindor,Central Guardian's Sea; Krexor; Krexor Bay; Strait of Valoran; Vindor
Ixaocan,land,no,Amarantine Coast; Harelport; Harelport Bay; Ixaocan Sea; Ixtal Valley; Plague Bay; The Jaws; The Plague Arbor,Amarantine Coast; Harelport; Harelport Bay; Ixaocan Sea; Plague Bay; The Jaws; The Plague Arbor
Ixaocan Sea,sea,no,Amarantine Coast; Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Icathian Sea; Ixaocan; Plague Bay,Amarantine Coast; Amarantine Sea 1; Amarantine Sea 2; Amarantine Sea 3; Icathian Sea; Ixaocan; Plague Bay
Ixtal Valley,land,no,Harelport; Ixaocan; Killash; Paretha; Serpentine River; The Jaws; The Plague Arbor,Harelport
Jandelle,land,no,Demacia City; Greenfang Mountains; Meltridge Basin; The Graygate; The Silent Forest,
Kalamanda Bay,sea,no,Aurma; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Kalamanda Mountains; Mount Targon; Western Central Sea,Aurma; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Kalamanda Mountains; Mount Targon; Western Central Sea
Kalamanda Mountains,land,no,Kalamanda Bay; Mount Targon; Sai Faraj; The Great Sai 1; The Great Sai 2; The Great Sai 3; Urzeris; Western Central Sea,Kalamanda Bay; Mount Targon; Urzeris; Western Central Sea
Kalduga,land,no,Bel'zhun; Gate of Shurima; Kalduga Inlet; Kumungu; Serpentine River; The Great Sai 1; The Great Sai 2; The Great Sai 3,Kalduga Inlet; Kumungu
Kalduga Inlet,sea,no,Bel'zhun; Eastern Central Sea; Kalduga; Kumangra; Kumungu,Bel'zhun; Eastern Central Sea; Kalduga; Kumangra; Kumungu
Kashuri Inlet,sea,no,Bay of Zhyunia; Dragonspine; Oulin; Qaelin; Shon-Xan; Vastaya Bay; Vlonqo; Zhyun,Bay of Zhyunia; Dragonspine; Oulin; Qaelin; Shon-Xan; Vastaya Bay; Vlonqo; Zhyun
Khworez,land,no,Dalamor Plain; Darkwill Peak; Immortal Bastion; Iron Bay; Iron Pinnacle,Immortal Bastion; Iron Bay; Iron Pinnacle
Kilgrove,land,no,Argent Mountains; Glorft Coast; Iron Pass; Qualthala Mountains; Trevale; Varju Mountains,Glorft Coast; Iron Pass; Qualthala Mountains; Trevale
Killash,land,no,Gate of Shurima; Ixtal Valley; North Icathia; Serpentine River; The Plague Arbor,
Kinkou,land,no,Bard Mountain; Bard Wash; Ionia City; Navori Plains; Placidium of Navori,
Krexor,land,no,Eastern Great Barrier; Ironwater; Krexor Bay; Vindor,Eastern Great Barrier; Ironwater; Krexor Bay
Krexor Bay,sea,no,Eastern Great Barrier; Holdrum; Ironwater; Krexor; Mount Pilt; Strait of Valoran,Eastern Great Barrier; Holdrum; Ironwater; Krexor; Mount Pilt; Strait of Valoran
Kumangra,land,no,Eastern Central Sea; Eastern Twin Cities Bay; Kalduga Inlet; Kumungu; Strait of Valoran; Western Twin Cities Bay; Zaun,Eastern Central Sea; Eastern Twin Cities Bay; Kalduga Inlet; Kumungu; Strait of Valoran; Western Twin Cities Bay; Zaun
Kumungu,land,no,Kalduga; Kalduga Inlet; Kumangra; Mudtown; Serpentine River; Strait of Valoran; The Jaws,Kalduga; Kalduga Inlet; Kumangra; Mudtown; Strait of Valoran
Marai Territory,land,no,Bay of Shurima; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Icathian Sea; Mount Targon; Sai Faraj; South Shurima; Southern Unbounded Ocean; The City of Gardens,Bay of Shurima; Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Icathian Sea; South Shurima; Southern Unbounded Ocean
Meltridge Basin,land,no,Bluespine Mountains; Demacia City; High Silvermere; Jandelle; The Graygate; Uwendale,
Mount Pilt,land,no,Eastern Great Barrier; Eastern Twin Cities Bay; Holdrum; Krexor Bay; Pilt Bay; Piltover; Strait of Valoran; Western Great Barrier; Western Twin Cities Bay; Zaun,Eastern Great Barrier; Eastern Twin Cities Bay; Holdrum; Krexor Bay; Pilt Bay; Piltover; Strait of Valoran; Western Twin Cities Bay; Zaun
Mount Targon,land,no,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Kalamanda Bay; Kalamanda Mountains; Marai Territory; Sai Faraj,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Kalamanda Bay; Kalamanda Mountains
Mudtown,land,no,Bilgewater Pass; Kumungu; Strait of Valoran; The Jaws,Bilgewater Pass; Kumungu; Strait of Valoran; The Jaws
Naljaäg,land,no,Freljord Plains; Frostguard Citadel; Ice Spine Mountains; Ironspike Mountains; Stormpeaks; Vathcaer Coast,
Nashramae,land,no,Bel'zhun; Eastern Central Sea; The Great Sai 1; The Great Sai 2; The Great Sai 3; Urzeris,Bel'zhun; Eastern Central Sea; Urzeris
Navori Bay,sea,no,Bard Wash; Fae'lor; Navori Plains; Raikkon Sea; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5,Bard Wash; Fae'lor; Navori Plains; Raikkon Sea; Sea of Noxus 1; Sea of Noxus 2; Sea of Noxus 3; Sea of Noxus 4; Sea of Noxus 5
Navori Plains,land,no,Bard Wash; Ionia City; Kinkou; Navori Bay; Tevasa Inlet,Bard Wash; Ionia City; Navori Bay; Tevasa Inlet
Needlebrook Bay,sea,no,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Evenmoor; Glorft Coast,Conqueror's Sea 1; Conqueror's Sea 2; Conqueror's Sea 3; Conqueror's Sea 4; Conqueror's Sea 5; Evenmoor; Glorft Coast
Niverøya Island,land,no,North Tracker's Sea; Northern Unbounded Ocean; Western Ice Sea,North Tracker's Sea; Northern Unbounded Ocean; Western Ice Sea
Nockmirch,land,no,Argent Mountains; Bargate Plains; Plains of Valoran 1; Plains of Valoran 2; Plains of Valoran 3; The Silent Forest; Trinity Mountains,
North Icathia,land,no,Bay of Icathia; Gate of Shurima; Killash; Plague Bay; Sai Khaleek; South Icathia; The Plague Arbor,Bay of Icathia; Plague Bay; South Icathia; The Plague Arbor
North Tracker's Sea,sea,no,Niverøya Island; Northern Unbounded Ocean; Rygann's Reach; South Tracker's Sea; Valar's Bay; Western Ice Sea,Niverøya Island; Northern Unbounded Ocean; Rygann's Reach; South Tracker's Sea; Valar's Bay; Western Ice Sea
